,No_of_features,Mean_score,SD_score
0,1,0.4525754438797917,0.019693096202586025
0,2,0.48220841959972394,0.03460247262781793
0,3,0.531513896731288,0.03473315782795972
0,4,0.5705778279691323,0.027332610610657507
0,5,0.5733772507685552,0.052936891260024085
0,6,0.5776435159043855,0.03568090001743547
0,7,0.5812183951314386,0.05815988986226259
0,8,0.5920283581153146,0.029892908412955027
0,9,0.6088801054018445,0.049973525463142564
0,10,0.6209021895978417,0.050167696852483415
0,11,0.6284923771880293,0.03856576614235376
0,12,0.6361415396198005,0.04139655304585107
0,13,0.6426425748164879,0.034021537200955916
0,14,0.6368580212058472,0.04115350610019925
0,15,0.6355467720685112,0.02229388879920821
0,16,0.6576171654432524,0.05264783618680003
0,17,0.655007215007215,0.05387067181251717
0,18,0.6562933684672816,0.053230020328693214
0,19,0.6562933684672816,0.053230020328693214
0,20,0.6522617479139219,0.05771223702258054
0,21,0.6331313131313132,0.04189100492953552
0,22,0.6331313131313132,0.04189100492953552
0,23,0.6442298764037895,0.026756036870179065
0,24,0.641648785996612,0.04974656793266255
0,25,0.6380324989020641,0.05065889460952304
0,26,0.6326770813727335,0.05575269940613086
0,27,0.6297910784867307,0.05371739737886208
0,28,0.6229587803500847,0.058093389252276396
0,29,0.624228621619926,0.04278125132033441
0,30,0.6369684421858335,0.030211704086585404
